state,year,total
New South Wales,1803,526
New South Wales,1804,619
New South Wales,1805,430
New South Wales,1806,367
New South Wales,1807,134
New South Wales,1808,155
New South Wales,1809,237
New South Wales,1810,269
New South Wales,1811,228
New South Wales,1812,208
New South Wales,1813,234
New South Wales,1814,201
New South Wales,1815,226
New South Wales,1816,485
New South Wales,1817,685
New South Wales,1818,789
New South Wales,1819,717
New South Wales,1820,815
New South Wales,1821,739
New South Wales,1822,821
New South Wales,1823,957
New South Wales,1824,1212
New South Wales,1825,2157
New South Wales,1826,3863
New South Wales,1827,5033
New South Wales,1828,5020
New South Wales,1829,6253
New South Wales,1830,5608
New South Wales,1831,6686
New South Wales,1832,8540
New South Wales,1833,8635
New South Wales,1834,10139
New South Wales,1835,11884
New South Wales,1836,12574
New South Wales,1837,13398
New South Wales,1838,13354
New South Wales,1839,15694
New South Wales,1840,20063
New South Wales,1841,19912
New South Wales,1842,16561
New South Wales,1843,17179
New South Wales,1844,20084
New South Wales,1845,18329
New South Wales,1846,17125
New South Wales,1847,20493
New South Wales,1848,17197
New South Wales,1849,13897
New South Wales,1850,14657
New South Wales,1851,25073
New South Wales,1852,26743
New South Wales,1853,26955
New South Wales,1854,32255
New South Wales,1855,38753
New South Wales,1856,42920
New South Wales,1857,44128
New South Wales,1858,36194
New South Wales,1859,39222
New South Wales,1860,48985
New South Wales,1861,49010
New South Wales,1862,48503
New South Wales,1863,47707
New South Wales,1864,48070
New South Wales,1865,48591
New South Wales,1866,48893
New South Wales,1867,50327
New South Wales,1868,44932
New South Wales,1869,47140
New South Wales,1870,47178
New South Wales,1871,45542
New South Wales,1872,49473
New South Wales,1873,49730
New South Wales,1874,52424
New South Wales,1875,41365
New South Wales,1876,40285
New South Wales,1877,39638
New South Wales,1878,42774
New South Wales,1879,48171
New South Wales,1880,47494
New South Wales,1881,44469
New South Wales,1882,45766
New South Wales,1883,47314
New South Wales,1884,50985
New South Wales,1885,54007
New South Wales,1886,65383
New South Wales,1887,67103
New South Wales,1888,66033
New South Wales,1889,84338
New South Wales,1890,101521
New South Wales,1891,98396
New South Wales,1892,95240
New South Wales,1893,100768
New South Wales,1894,94925
New South Wales,1895,101625
New South Wales,1896,100051
New South Wales,1897,101115
New South Wales,1898,98883
New South Wales,1899,119062
New South Wales,1900,134064
New South Wales,1901,132685
New South Wales,1902,135462
New South Wales,1903,133976
New South Wales,1904,126802
New South Wales,1905,131280
New South Wales,1906,144438
New South Wales,1907,148338
New South Wales,1908,155090
New South Wales,1909,159073
New South Wales,1910,167432
New South Wales,1911,162966
New South Wales,1912,162960
New South Wales,1913,163583
New South Wales,1914,155712
New South Wales,1915,141136
New South Wales,1916,120666
New South Wales,1917,108413
New South Wales,1918,89484
New South Wales,1919,116284
New South Wales,1920,91765
New South Wales,1921,87615
New South Wales,1922,101097
New South Wales,1923,116565
New South Wales,1924,124322
New South Wales,1925,127615
New South Wales,1926,128510
New South Wales,1927,133734
New South Wales,1928,135776
New South Wales,1929,140350
New South Wales,1930,145572
New South Wales,1931,138055
New South Wales,1932,136523
New South Wales,1933,135398
New South Wales,1934,140474
New South Wales,1935,143603
New South Wales,1936,138196
New South Wales,1937,140279
New South Wales,1938,142706
New South Wales,1939,136674
New South Wales,1940,113033
New South Wales,1941,95862
New South Wales,1942,73529
New South Wales,1943,64408
New South Wales,1944,63566
New South Wales,1945,74262
New South Wales,1946,81768
New South Wales,1947,88791
New South Wales,1948,77668
New South Wales,1949,97260
New South Wales,1950,105675
New South Wales,1951,105567
New South Wales,1952,101696
New South Wales,1953,115973
New South Wales,1954,126707
